Entity;Code;Year;Deaths - HIV/AIDS - Sex: Both - Age: Under 5 (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 70+ years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 5-14 years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 15-49 years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 50-69 years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Rate)
Afghanistan;AFG;2019;1,48;0,6;0,05;0,99;1,36;0,83
African Region (WHO);;2019;23,98;51,39;8,37;80,89;145,28;57,81
Albania;ALB;2019;0,06;0,03;0,01;0,07;0,08;0,06
Algeria;DZA;2019;0,43;0,85;0,05;0,69;1,19;0,63
American Samoa;ASM;2019;0,71;0,63;0,15;1,13;1,13;0,87
Andorra;AND;2019;0,48;4,43;0,02;3,44;5,69;3,73
Angola;AGO;2019;16,4;47,96;6,93;91,24;125,69;55,75
Antigua and Barbuda;ATG;2019;1,47;4,06;0,52;10;12,04;8,32
Argentina;ARG;2019;0,35;0,76;0,16;5,41;5,95;3,94
Armenia;ARM;2019;0,1;0;0,04;1;0,55;0,63
Australia;AUS;2019;0,04;0,06;0,02;0,33;0,53;0,29
Austria;AUT;2019;0,08;0,08;0,03;0,53;0,53;0,4
Azerbaijan;AZE;2019;0,21;0,03;0,02;0,54;0,25;0,36
Bahamas;BHS;2019;3,39;9,49;1,32;40,39;41,02;30,81
Bahrain;BHR;2019;0,11;0,31;0,06;0,53;0,85;0,51
Bangladesh;BGD;2019;0,28;0,16;0,03;0,28;0,25;0,23
Barbados;BRB;2019;0,99;3,89;0,49;11,08;9,94;8,32
Belarus;BLR;2019;0,33;0;0,05;5,83;1,45;3,09
Belgium;BEL;2019;0,17;0,1;0,06;0,5;0,94;0,49
Belize;BLZ;2019;3,29;6,41;0,94;28,51;26,22;19,52
Benin;BEN;2019;8,25;14,8;4,56;21,35;47,84;16,05
Bermuda;BMU;2019;1,14;5,11;0,39;12,17;12,55;9,76
Bhutan;BTN;2019;4,73;3,13;0,41;4,91;4,98;4,06
Bolivia;BOL;2019;9,38;3,33;0,64;7,61;6,22;6,09
Bosnia and Herzegovina;BIH;2019;0,02;0,04;0;0,05;0,09;0,05
Botswana;BWA;2019;12,96;215,76;6,38;295,68;592,54;239,98
Brazil;BRA;2019;1,73;2,43;0,5;8,89;11,26;7,18
Brunei;BRN;2019;0,87;1,84;0,08;1,26;2,17;1,21
Bulgaria;BGR;2019;0,23;0,01;0,03;0,9;0,94;0,66
Burkina Faso;BFA;2019;8,23;13,78;3,31;16,15;42,49;13,04
Burundi;BDI;2019;9,68;17,52;6,12;19,89;58,99;17,16
Cambodia;KHM;2019;3,26;3,91;1,47;9,95;18,46;8,53
Cameroon;CMR;2019;17,07;73,17;10,12;115,53;213,57;79,62
Canada;CAN;2019;0,06;0,12;0,04;0,9;1,03;0,69
Cape Verde;CPV;2019;6,4;5,38;1,78;10,65;20,3;9,68
Central African Republic;CAF;2019;15,45;94,76;10,76;154,87;282,54;104,66
Chad;TCD;2019;11,51;30,99;5,17;44,86;90,45;28,63
Chile;CHL;2019;0,18;0,82;0,05;3,68;3,51;2,7
China;CHN;2019;0,72;3,17;0,12;2,32;2,94;2,23
Colombia;COL;2019;0,89;1,7;0,17;6,83;7,41;5,13
Comoros;COM;2019;0,11;0,29;0,01;0,38;0,29;0,26
Congo;COG;2019;46,21;54,57;11,44;108,16;170,58;81,18
Cook Islands;COK;2019;2,78;4,24;0,45;12,72;13,15;9,49
Costa Rica;CRI;2019;0,86;0,72;0,44;3,79;4,87;3,09
Cote d'Ivoire;CIV;2019;23,36;46,86;12,42;66,1;150,33;52,11
Croatia;HRV;2019;0,08;0,04;0,03;0,19;0,29;0,18
Cuba;CUB;2019;0,28;0,44;0,16;4,28;3,33;2,97
Cyprus;CYP;2019;0,01;0,5;0;0,36;0,52;0,35
Czechia;CZE;2019;0,13;0,06;0,02;0,21;0,27;0,18
Democratic Republic of Congo;COD;2019;6,92;9,67;2,78;15,39;30,03;11,68
Denmark;DNK;2019;0,07;0,15;0,01;0,42;0,82;0,42
Djibouti;DJI;2019;7,05;52,89;7,48;105,24;155,57;75,08
Dominica;DMA;2019;2,61;3,1;0,59;9,94;8,77;7,3
Dominican Republic;DOM;2019;1,34;8,03;0,38;15,69;25,19;12,52
East Asia & Pacific (WB);;2019;2,19;2,59;0,34;4,14;3,92;3,39
Eastern Mediterranean Region (WHO);;2019;1,91;1,59;0,25;3,12;3,35;2,34
Ecuador;ECU;2019;1,4;2,14;0,37;10,38;7,89;6,86
Egypt;EGY;2019;0,04;0,04;0,01;0,07;0,08;0,06
El Salvador;SLV;2019;12,29;11,34;1,09;12,31;16,9;10,87
England;;2019;0,13;0,05;0,03;0,42;0,55;0,34
Equatorial Guinea;GNQ;2019;66,42;122,77;23,23;212,92;330,28;149,15
Eritrea;ERI;2019;8,39;18,09;2,7;26,97;58,07;20,54
Estonia;EST;2019;0,18;0;0,03;5,21;1,08;2,59
Eswatini;SWZ;2019;113,43;252,59;32,88;386,55;655,96;290,81
Ethiopia;ETH;2019;20,12;20,44;5,57;31,01;69,1;24,71
Europe & Central Asia (WB);;2019;0,91;0,12;0,12;6,11;1,86;3,38
European Region (WHO);;2019;0,89;0,12;0,12;6,04;1,85;3,34
Fiji;FJI;2019;1,52;0,26;0,3;1,24;0,71;0,97
Finland;FIN;2019;0,06;0,01;0,02;0,1;0,2;0,1
France;FRA;2019;0,09;0,11;0,04;0,8;1,29;0,69
G20;;2019;1,89;2,08;0,76;7,92;6,41;5,77
Gabon;GAB;2019;22,56;52,36;5,27;78,68;149,55;63,72
Gambia;GMB;2019;10,5;40,06;3,69;73;118,44;48,01
Georgia;GEO;2019;0,22;0,01;0,05;1,03;0,6;0,64
Germany;DEU;2019;0,12;0,12;0,04;0,52;0,87;0,5
Ghana;GHA;2019;6,88;34,4;5,68;64,39;102,16;46,36
Greece;GRC;2019;0,09;0,02;0,02;0,34;0,24;0,22
Greenland;GRL;2019;5,19;3,25;0,14;2,04;5,12;2,89
Grenada;GRD;2019;0,66;2,1;0,28;6,5;8,28;5,29
Guam;GUM;2019;3,07;2,45;0,36;5,52;5,02;4,11
Guatemala;GTM;2019;2,18;0,91;0,42;5,04;6,85;3,76
Guinea;GIN;2019;8,54;30,01;4,38;50,13;79,24;31,93
Guinea-Bissau;GNB;2019;9,09;46,09;8,68;78,15;136,14;52,74
Guyana;GUY;2019;4,1;7;1,28;33,38;29,84;23,46
Haiti;HTI;2019;17,58;36,52;8,43;59,57;109,19;47,64
Honduras;HND;2019;0,55;0,53;0,03;1,34;1,31;0,93
Hungary;HUN;2019;0,06;0,01;0,01;0,36;0,83;0,39
Iceland;ISL;2019;0,06;0,05;0,02;0,39;0,26;0,26
India;IND;2019;1,56;0,38;0,33;4,67;3,99;3,33
Indonesia;IDN;2019;4,83;0,46;0,22;2,84;1,06;2,16
