Entity;Code;Year;Deaths - Meningitis - Sex: Both - Age: All Ages (Number);Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number);Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number);Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number);Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number)
Afghanistan;AFG;2019;1563;318;3627;61995;1940
African Region (WHO);;2019;139590;635623;369065;1085321;13950
Albania;ALB;2019;13;2;11;12904;1
Algeria;DZA;2019;292;264;445;97931;259
American Samoa;ASM;2019;1;0;1;125;0
Andorra;AND;2019;0;3;0;169;1
Angola;AGO;2019;2520;16802;11752;25724;246
Antigua and Barbuda;ATG;2019;1;7;0;200;0
Argentina;ARG;2019;453;1777;727;101725;36
Armenia;ARM;2019;5;19;73;13507;2
Australia;AUS;2019;46;71;95;51615;10
Austria;AUT;2019;31;35;50;32998;3
Azerbaijan;AZE;2019;62;37;636;42138;24
Bahamas;BHS;2019;3;116;7;869;0
Bahrain;BHR;2019;3;7;11;1271;4
Bangladesh;BGD;2019;2323;359;29086;324764;4437
Barbados;BRB;2019;3;25;2;905;0
Belarus;BLR;2019;49;294;298;75339;19
Belgium;BEL;2019;45;56;82;33627;5
Belize;BLZ;2019;2;80;15;464;0
Benin;BEN;2019;1975;2033;2624;11418;165
Bermuda;BMU;2019;0;6;0;209;0
Bhutan;BTN;2019;22;31;107;1208;10
Bolivia;BOL;2019;134;732;1550;15905;19
Bosnia and Herzegovina;BIH;2019;9;2;120;18828;3
Botswana;BWA;2019;123;5612;809;3519;8
Brazil;BRA;2019;2008;15561;5485;397993;237
Brunei;BRN;2019;2;5;19;508;3
Bulgaria;BGR;2019;39;46;121;79119;9
Burkina Faso;BFA;2019;5258;2959;7552;22151;298
Burundi;BDI;2019;1239;2048;8721;10804;212
Cambodia;KHM;2019;129;1416;6046;30313;310
Cameroon;CMR;2019;2791;23172;6551;26491;378
Canada;CAN;2019;89;254;149;82644;12
Cape Verde;CPV;2019;18;55;60;1073;4
Central African Republic;CAF;2019;902;5547;8637;7210;123
Chad;TCD;2019;4623;4695;6990;13837;409
Chile;CHL;2019;113;492;456;30115;5
China;CHN;2019;6465;31746;36566;4584273;3726
Colombia;COL;2019;377;2450;908;72629;13
Comoros;COM;2019;70;2;329;1143;12
Congo;COG;2019;284;4275;1961;7096;32
Cook Islands;COK;2019;0;2;0;58;0
Costa Rica;CRI;2019;35;146;47;6664;3
Cote d'Ivoire;CIV;2019;2259;13638;7086;22376;220
Croatia;HRV;2019;17;8;53;24721;1
Cuba;CUB;2019;94;337;42;39755;4
Cyprus;CYP;2019;3;5;5;3112;1
Czechia;CZE;2019;38;19;55;51294;3
Democratic Republic of Congo;COD;2019;6147;10238;46145;89906;1027
Denmark;DNK;2019;31;24;27;15330;2
Djibouti;DJI;2019;110;903;437;1240;14
Dominica;DMA;2019;1;5;3;242;0
Dominican Republic;DOM;2019;217;1362;751;27140;43
East Asia & Pacific (WB);;2019;18440;79849;206984;6737347;11506
Eastern Mediterranean Region (WHO);;2019;28368;16961;97622;1374978;15834
Ecuador;ECU;2019;118;1207;735;21464;12
Egypt;EGY;2019;764;56;892;263873;1356
El Salvador;SLV;2019;52;680;89;9695;6
England;;2019;218;191;319;153285;18
Equatorial Guinea;GNQ;2019;55;2118;193;960;3
Eritrea;ERI;2019;693;1378;4674;6660;118
Estonia;EST;2019;6;34;24;8201;0
Eswatini;SWZ;2019;73;3321;637;1519;6
Ethiopia;ETH;2019;11283;26591;29874;76975;1626
Europe & Central Asia (WB);;2019;4446;31104;24940;4185904;889
European Region (WHO);;2019;4480;31142;25002;4213688;894
Fiji;FJI;2019;13;9;40;2642;2
Finland;FIN;2019;16;5;55;25383;2
France;FRA;2019;226;457;1053;166496;19
G20;;2019;56332;280864;588251;13333622;41726
Gabon;GAB;2019;86;1115;474;2541;9
Gambia;GMB;2019;212;1078;722;2603;21
Georgia;GEO;2019;21;23;175;29709;8
Germany;DEU;2019;216;421;462;364285;36
Ghana;GHA;2019;3487;14621;10223;39650;285
Greece;GRC;2019;30;22;137;55921;39
Greenland;GRL;2019;1;2;3;123;0
Grenada;GRD;2019;0;5;1;263;0
Guam;GUM;2019;2;7;4;474;0
Guatemala;GTM;2019;242;669;419;15882;15
Guinea;GIN;2019;3260;4037;4396;14547;260
Guinea-Bissau;GNB;2019;267;1003;716;2214;34
Guyana;GUY;2019;6;181;61;2430;2
Haiti;HTI;2019;997;5908;1286;26468;82
Honduras;HND;2019;109;91;558;15015;22
Hungary;HUN;2019;50;37;61;61818;3
Iceland;ISL;2019;1;1;1;724;0
India;IND;2019;34736;46298;422634;2574410;30987
Indonesia;IDN;2019;4715;5603;76549;651481;5560
Iran;IRN;2019;577;1177;818;173601;466
Iraq;IRQ;2019;427;82;942;79952;114
Ireland;IRL;2019;10;9;30;10347;1
Israel;ISR;2019;28;37;26;12393;3
Italy;ITA;2019;185;621;426;236507;86
Jamaica;JAM;2019;21;418;10;6457;2
Japan;JPN;2019;408;161;3852;372483;104
Jordan;JOR;2019;83;27;29;11798;11
Kazakhstan;KAZ;2019;136;261;768;65391;21
Kenya;KEN;2019;4396;51135;16781;40611;1476
Kiribati;KIR;2019;11;2;69;349;3
Kuwait;KWT;2019;12;3;26;4119;1
Kyrgyzstan;KGZ;2019;38;170;405;17482;18
Laos;LAO;2019;162;374;2093;13523;37
Latin America & Caribbean (WB);;2019;6093;43990;19205;1099697;809
Latvia;LVA;2019;8;118;53;15779;1
Lebanon;LBN;2019;34;61;42;16329;142
Lesotho;LSO;2019;162;10793;2598;4028;24
Liberia;LBR;2019;432;1652;1062;4299;64
Libya;LBY;2019;43;85;84;12747;45
Lithuania;LTU;2019;16;61;152;21301;1
Luxembourg;LUX;2019;1;2;2;1332;0
Madagascar;MDG;2019;2084;2530;12268;35397;249
Malawi;MWI;2019;2369;14227;7861;15650;300
Malaysia;MYS;2019;291;1521;1992;58824;202
Maldives;MDV;2019;2;1;14;522;0
Mali;MLI;2019;6260;4496;5638;19519;411
Malta;MLT;2019;2;1;1;1491;0
Marshall Islands;MHL;2019;1;4;8;156;0
Mauritania;MRT;2019;217;21;482;3952;26
Mauritius;MUS;2019;5;91;15;3309;1
Mexico;MEX;2019;522;5034;2596;167535;242
Micronesia (country);FSM;2019;2;45;11;331;0
Middle East & North Africa (WB);;2019;3832;4666;10387;997507;3596
Moldova;MDA;2019;20;163;184;23438;1
Monaco;MCO;2019;0;1;1;161;0
Mongolia;MNG;2019;24;15;371;9806;15
Montenegro;MNE;2019;1;1;4;3943;0
Morocco;MAR;2019;400;494;3932;117034;386
Mozambique;MOZ;2019;2729;66304;20700;31692;481
Myanmar;MMR;2019;1246;4773;14313;138139;251
Namibia;NAM;2019;100;3772;831;3747;8
Nauru;NRU;2019;0;1;1;23;0
Nepal;NPL;2019;469;1434;7488;46501;543
Netherlands;NLD;2019;96;49;99;42569;5
New Zealand;NZL;2019;13;9;18;11948;1
Nicaragua;NIC;2019;44;561;143;8202;6
Niger;NER;2019;7772;1423;5882;17201;355
Nigeria;NGA;2019;44914;82270;45278;163496;2540
Niue;NIU;2019;0;0;0;8;0
North America (WB);;2019;1235;7313;1127;1040308;143
North Korea;PRK;2019;223;761;3242;102586;125
North Macedonia;MKD;2019;5;2;38;14023;1
Northern Ireland;;2019;8;7;11;5024;1
Northern Mariana Islands;MNP;2019;0;1;1;116;0
Norway;NOR;2019;19;14;44;12724;2
OECD Countries;;2019;4493;17051;16685;3723313;933
Oman;OMN;2019;14;98;18;4998;31
Pakistan;PAK;2019;17987;3949;62774;341108;8516
Palau;PLW;2019;0;2;1;65;0
Palestine;PSE;2019;28;14;25;6710;6
Panama;PAN;2019;36;540;188;5318;1
Papua New Guinea;PNG;2019;599;3830;1538;15540;91
Paraguay;PRY;2019;65;570;242;9912;2
Peru;PER;2019;143;2401;1943;29215;30
Philippines;PHL;2019;2056;5222;29181;204311;137
Poland;POL;2019;135;134;559;174736;11
Portugal;PRT;2019;36;482;224;37353;4
Puerto Rico;PRI;2019;9;231;21;8823;3
Qatar;QAT;2019;5;4;9;1121;2
Region of the Americas (WHO);;2019;7319;51057;20310;2130471;949
Romania;ROU;2019;60;142;941;150427;6
Russia;RUS;2019;1143;18682;7982;1004931;57
Rwanda;RWA;2019;995;3065;3960;11826;178
Saint Kitts and Nevis;KNA;2019;1;32;1;157;0
Saint Lucia;LCA;2019;2;7;4;446;0
Saint Vincent and the Grenadines;VCT;2019;1;20;3;355;0
Samoa;WSM;2019;2;13;13;539;1
San Marino;SMR;2019;0;1;0;98;0
Sao Tome and Principe;STP;2019;5;0;20;273;2
Saudi Arabia;SAU;2019;180;683;1301;45837;65
Scotland;;2019;25;22;40;19285;2
Senegal;SEN;2019;1563;1603;3732;15981;107
Serbia;SRB;2019;27;48;128;63769;4
Seychelles;SYC;2019;2;4;4;242;0
Sierra Leone;SLE;2019;1630;2798;2509;9009;144
Singapore;SGP;2019;5;36;58;6810;1
Slovakia;SVK;2019;20;4;31;26796;2
Slovenia;SVN;2019;6;2;13;7797;1
Solomon Islands;SLB;2019;17;41;44;2285;10
