Entity;Code;Year;Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Percent)
Afghanistan;AFG;2019;0,13
African Region (WHO);;2019;8,31
Albania;ALB;2019;0,01
Algeria;DZA;2019;0,13
American Samoa;ASM;2019;0,13
Andorra;AND;2019;0,51
Angola;AGO;2019;9,12
Antigua and Barbuda;ATG;2019;1,21
Argentina;ARG;2019;0,51
Armenia;ARM;2019;0,07
Australia;AUS;2019;0,04
Austria;AUT;2019;0,04
Azerbaijan;AZE;2019;0,05
Bahamas;BHS;2019;4,28
Bahrain;BHR;2019;0,17
Bangladesh;BGD;2019;0,04
Barbados;BRB;2019;0,8
Belarus;BLR;2019;0,24
Belgium;BEL;2019;0,05
Belize;BLZ;2019;4,04
Benin;BEN;2019;2,2
Bermuda;BMU;2019;1,08
Bhutan;BTN;2019;0,73
Bolivia;BOL;2019;0,97
Bosnia and Herzegovina;BIH;2019;0
Botswana;BWA;2019;26,67
Brazil;BRA;2019;1,1
Brunei;BRN;2019;0,28
Bulgaria;BGR;2019;0,04
Burkina Faso;BFA;2019;1,47
Burundi;BDI;2019;2,47
Cambodia;KHM;2019;1,28
Cameroon;CMR;2019;11,26
Canada;CAN;2019;0,09
Cape Verde;CPV;2019;1,55
Central African Republic;CAF;2019;8,26
Chad;TCD;2019;3,01
Chile;CHL;2019;0,44
China;CHN;2019;0,3
Colombia;COL;2019;1,01
Comoros;COM;2019;0,04
Congo;COG;2019;12,05
Cook Islands;COK;2019;1,04
Costa Rica;CRI;2019;0,6
Cote d'Ivoire;CIV;2019;7,51
Croatia;HRV;2019;0,01
Cuba;CUB;2019;0,32
Cyprus;CYP;2019;0,05
Czechia;CZE;2019;0,02
Democratic Republic of Congo;COD;2019;1,82
Denmark;DNK;2019;0,04
Djibouti;DJI;2019;12,02
Dominica;DMA;2019;0,69
Dominican Republic;DOM;2019;1,95
East Asia & Pacific (WB);;2019;0,46
Eastern Mediterranean Region (WHO);;2019;0,41
Ecuador;ECU;2019;1,32
Egypt;EGY;2019;0,01
El Salvador;SLV;2019;1,71
England;;2019;0,04
Equatorial Guinea;GNQ;2019;27,77
Eritrea;ERI;2019;3,22
Estonia;EST;2019;0,22
Eswatini;SWZ;2019;28,92
Ethiopia;ETH;2019;4,75
Europe & Central Asia (WB);;2019;0,33
European Region (WHO);;2019;0,33
Fiji;FJI;2019;0,12
Finland;FIN;2019;0,01
France;FRA;2019;0,08
G20;;2019;0,75
Gabon;GAB;2019;9,51
Gambia;GMB;2019;7,99
Georgia;GEO;2019;0,05
Germany;DEU;2019;0,04
Ghana;GHA;2019;7,05
Greece;GRC;2019;0,02
Greenland;GRL;2019;0,34
Grenada;GRD;2019;0,67
Guam;GUM;2019;0,62
Guatemala;GTM;2019;0,71
Guinea;GIN;2019;3,56
Guinea-Bissau;GNB;2019;6,78
Guyana;GUY;2019;2,74
Haiti;HTI;2019;5,97
Honduras;HND;2019;0,17
Hungary;HUN;2019;0,03
Iceland;ISL;2019;0,04
India;IND;2019;0,49
Indonesia;IDN;2019;0,33
Iran;IRN;2019;0,3
Iraq;IRQ;2019;0,05
Ireland;IRL;2019;0,03
Israel;ISR;2019;0,08
Italy;ITA;2019;0,1
Jamaica;JAM;2019;2,15
Japan;JPN;2019;0,01
Jordan;JOR;2019;0,09
Kazakhstan;KAZ;2019;0,19
Kenya;KEN;2019;17,42
Kiribati;KIR;2019;0,14
Kuwait;KWT;2019;0,03
Kyrgyzstan;KGZ;2019;0,49
Laos;LAO;2019;0,84
Latin America & Caribbean (WB);;2019;1,08
Latvia;LVA;2019;0,43
Lebanon;LBN;2019;0,18
Lesotho;LSO;2019;33,32
Liberia;LBR;2019;5,59
Libya;LBY;2019;0,27
Lithuania;LTU;2019;0,16
Luxembourg;LUX;2019;0,06
Madagascar;MDG;2019;1,55
Malawi;MWI;2019;12,23
Malaysia;MYS;2019;0,87
Maldives;MDV;2019;0,06
Mali;MLI;2019;2,25
Malta;MLT;2019;0,04
Marshall Islands;MHL;2019;0,95
Mauritania;MRT;2019;0,1
Mauritius;MUS;2019;0,86
Mexico;MEX;2019;0,68
Micronesia (country);FSM;2019;4,83
Middle East & North Africa (WB);;2019;0,21
Moldova;MDA;2019;0,4
Monaco;MCO;2019;0,16
Mongolia;MNG;2019;0,06
Montenegro;MNE;2019;0,02
Morocco;MAR;2019;0,22
Mozambique;MOZ;2019;25,08
Myanmar;MMR;2019;1,14
Namibia;NAM;2019;20,09
Nauru;NRU;2019;1,24
Nepal;NPL;2019;0,75
Netherlands;NLD;2019;0,03
New Zealand;NZL;2019;0,03
Nicaragua;NIC;2019;1,93
Niger;NER;2019;0,71
Nigeria;NGA;2019;5,18
Niue;NIU;2019;0,76
North America (WB);;2019;0,23
North Korea;PRK;2019;0,32
North Macedonia;MKD;2019;0,01
Northern Ireland;;2019;0,04
Northern Mariana Islands;MNP;2019;0,17
Norway;NOR;2019;0,03
OECD Countries;;2019;0,15
Oman;OMN;2019;0,8
Pakistan;PAK;2019;0,26
Palau;PLW;2019;0,9
Palestine;PSE;2019;0,08
Panama;PAN;2019;2,76
Papua New Guinea;PNG;2019;5,4
Paraguay;PRY;2019;1,69
Peru;PER;2019;1,6
Philippines;PHL;2019;0,82
Poland;POL;2019;0,03
Portugal;PRT;2019;0,41
Puerto Rico;PRI;2019;0,71
Qatar;QAT;2019;0,1
Region of the Americas (WHO);;2019;0,7
Romania;ROU;2019;0,05
Russia;RUS;2019;1,05
Rwanda;RWA;2019;4,49
Saint Kitts and Nevis;KNA;2019;6,37
Saint Lucia;LCA;2019;0,52
Saint Vincent and the Grenadines;VCT;2019;1,95
Samoa;WSM;2019;0,99
San Marino;SMR;2019;0,23
Sao Tome and Principe;STP;2019;0,03
Saudi Arabia;SAU;2019;0,54
Scotland;;2019;0,04
Senegal;SEN;2019;1,79
Serbia;SRB;2019;0,04
Seychelles;SYC;2019;0,5
Sierra Leone;SLE;2019;4,02
Singapore;SGP;2019;0,16
Slovakia;SVK;2019;0,01
Slovenia;SVN;2019;0,01
Solomon Islands;SLB;2019;0,65
Somalia;SOM;2019;1,75
South Africa;ZAF;2019;27,53
South Asia (WB);;2019;0,43
South Korea;KOR;2019;0,04
South Sudan;SSD;2019;6,03
South-East Asia Region (WHO);;2019;0,57
Spain;ESP;2019;0,16
Sri Lanka;LKA;2019;0,03
Sub-Saharan Africa (WB);;2019;8,21
Sudan;SDN;2019;2,57
Suriname;SUR;2019;2,31
Sweden;SWE;2019;0,02
Switzerland;CHE;2019;0,05
Syria;SYR;2019;0,02
Taiwan;TWN;2019;0,09
Tajikistan;TJK;2019;0,12
Tanzania;TZA;2019;7,68
Thailand;THA;2019;3,51
Timor;TLS;2019;3,05
Togo;TGO;2019;6,47
Tokelau;TKL;2019;1,08
Tonga;TON;2019;0,28
Trinidad and Tobago;TTO;2019;1,78
Tunisia;TUN;2019;0,22
Turkey;TUR;2019;0,05
Turkmenistan;TKM;2019;0,32
Tuvalu;TUV;2019;0,92
Uganda;UGA;2019;8,57
Ukraine;UKR;2019;0,95
United Arab Emirates;ARE;2019;0,56
United Kingdom;GBR;2019;0,04
United States;USA;2019;0,24
United States Virgin Islands;VIR;2019;0,62
