country_code,disease_code
AFG,0.0
AFG,1.0
AFG,2.0
AFG,3.0
ALB,0.0
ALB,1.0
ALB,2.0
ALB,3.0
DZA,0.0
DZA,1.0
DZA,2.0
DZA,3.0
AND,0.0
AND,1.0
AND,2.0
AND,3.0
AGO,0.0
AGO,1.0
AGO,2.0
AGO,3.0
AIA,
ARG,0.0
ARG,1.0
ARG,2.0
ARG,3.0
ARM,0.0
ARM,1.0
ARM,2.0
ARM,3.0
ABW,
AUS,0.0
AUS,1.0
AUS,2.0
AUS,3.0
AUT,0.0
AUT,1.0
AUT,2.0
AUT,3.0
AZE,0.0
AZE,1.0
AZE,2.0
AZE,3.0
BHS,0.0
BHS,1.0
BHS,2.0
BHS,3.0
BHR,0.0
BHR,1.0
BHR,2.0
BHR,3.0
BGD,0.0
BGD,1.0
BGD,2.0
BGD,3.0
BRB,0.0
BRB,1.0
BRB,2.0
BRB,3.0
BLR,0.0
BLR,1.0
BLR,2.0
BLR,3.0
BEL,0.0
BEL,1.0
BEL,2.0
BEL,3.0
BLZ,0.0
BLZ,1.0
BLZ,2.0
BLZ,3.0
BEN,0.0
BEN,1.0
BEN,2.0
BEN,3.0
BMU,0.0
BMU,1.0
BMU,2.0
BMU,3.0
BTN,0.0
BTN,1.0
BTN,2.0
BTN,3.0
BOL,0.0
BOL,1.0
BOL,2.0
BOL,3.0
BWA,0.0
BWA,1.0
BWA,2.0
BWA,3.0
BRA,0.0
BRA,1.0
BRA,2.0
BRA,3.0
BRN,0.0
BRN,1.0
BRN,2.0
BRN,3.0
BGR,0.0
BGR,1.0
BGR,2.0
BGR,3.0
BDI,0.0
BDI,1.0
BDI,2.0
BDI,3.0
KHM,0.0
KHM,1.0
KHM,2.0
KHM,3.0
CMR,0.0
CMR,1.0
CMR,2.0
CMR,3.0
CAN,0.0
CAN,1.0
CAN,2.0
CAN,3.0
TCD,0.0
TCD,1.0
TCD,2.0
TCD,3.0
CHL,0.0
CHL,1.0
CHL,2.0
CHL,3.0
CHN,0.0
CHN,1.0
CHN,2.0
CHN,3.0
COL,0.0
COL,1.0
COL,2.0
COL,3.0
COM,0.0
COM,1.0
COM,2.0
COM,3.0
COG,0.0
COG,1.0
COG,2.0
COG,3.0
HRV,0.0
HRV,1.0
HRV,2.0
HRV,3.0
CUB,0.0
CUB,1.0
CUB,2.0
CUB,3.0
CUW,
CYP,0.0
CYP,1.0
CYP,2.0
CYP,3.0
CZE,0.0
CZE,1.0
CZE,2.0
CZE,3.0
DNK,0.0
DNK,1.0
DNK,2.0
DNK,3.0
DJI,0.0
DJI,1.0
DJI,2.0
DJI,3.0
DMA,0.0
DMA,1.0
DMA,2.0
DMA,3.0
ECU,0.0
ECU,1.0
ECU,2.0
ECU,3.0
EGY,0.0
EGY,1.0
EGY,2.0
EGY,3.0
ERI,0.0
ERI,1.0
ERI,2.0
ERI,3.0
EST,0.0
EST,1.0
EST,2.0
EST,3.0
SWZ,0.0
SWZ,1.0
SWZ,2.0
SWZ,3.0
ETH,0.0
ETH,1.0
ETH,2.0
