name,population,code,development_index,continent
Afghanistan,37769496,AFG,"0,488",Asia
Albania,2873883,ALB,"0,81",Europe
Algeria,42705372,DZA,"0,748",Africa
Andorra,76361,AND,"0,873",Europe
Angola,32353592,AGO,"0,595",Africa
Anguilla,15408,AIA,,Americas
Argentina,44745516,ARG,"0,852",Americas
Armenia,2820604,ARM,"0,778",Asia
Aruba,106458,ABW,,Americas
Australia,25357168,AUS,"0,941",Oceania
Austria,8879939,AUT,"0,919",Europe
Azerbaijan,10232761,AZE,"0,761",Asia
Bahamas,404563,BHS,"0,816",Americas
Bahrain,1494195,BHR,"0,882",Asia
Bangladesh,165516220,BGD,"0,644",Asia
Barbados,280193,BRB,"0,799",Americas
Belarus,9673971,BLR,"0,817",Europe
Belgium,11510569,BEL,"0,936",Europe
Belize,389103,BLZ,"0,705",Americas
Benin,12290443,BEN,"0,53",Africa
Bermuda,63833,BMU,,Americas
Bhutan,767467,BTN,"0,671",Asia
Bolivia,11777318,BOL,"0,717",Americas
Botswana,2499705,BWA,"0,717",Africa
Brazil,211782880,BRA,"0,766",Americas
Brunei,438058,BRN,"0,83",Asia
Bulgaria,7052536,BGR,"0,81",Europe
Burundi,11874838,BDI,"0,431",Africa
Cambodia,16207746,KHM,"0,598",Asia
Cameroon,25782342,CMR,"0,583",Africa
Canada,37522584,CAN,"0,937",Americas
Chad,16126868,TCD,"0,403",Africa
Chile,19039484,CHL,"0,861",Americas
China,1421864100,CHN,"0,762",Asia
Colombia,50187404,COL,"0,768",Americas
Comoros,790993,COM,"0,56",Africa
Congo,5570736,COG,"0,57",Africa
Croatia,4129749,HRV,"0,861",Europe
Cuba,11316699,CUB,"0,788",Americas
Curacao,193119,CUW,,Americas
Cyprus,1228840,CYP,"0,897",Asia
Czechia,10536876,CZE,"0,897",Europe
Denmark,5795879,DNK,"0,946",Europe
Djibouti,1073999,DJI,"0,512",Africa
Dominica,71446,DMA,"0,729",Americas
Ecuador,17343742,ECU,"0,76",Americas
Egypt,105618670,EGY,"0,735",Africa
Eritrea,3498819,ERI,"0,495",Africa
Estonia,1327039,EST,"0,896",Europe
Eswatini,1169620,SWZ,"0,615",Africa
Ethiopia,114120590,ETH,"0,498",Africa
Fiji,918472,FJI,"0,746",Oceania
Finland,5521539,FIN,"0,939",Europe
France,64399760,FRA,"0,905",Europe
Gabon,2242788,GAB,"0,709",Africa
Gambia,2508882,GMB,"0,503",Africa
Georgia,3770814,GEO,"0,81",Asia
Germany,83148140,DEU,"0,948",Europe
Ghana,31522294,GHA,"0,631",Africa
Gibraltar,32715,GIB,,Europe
Greece,10574026,GRC,"0,889",Europe
Greenland,55955,GRL,,Americas
Grenada,122737,GRD,"0,8",Americas
Guadeloupe,395487,GLP,,Americas
Guam,168632,GUM,,Oceania
Guatemala,17106338,GTM,"0,642",Americas
Guernsey,62391,GGY,,Europe
Guinea,12877537,GIN,"0,467",Africa
Guinea-Bissau,1970460,GNB,"0,49",Africa
Guyana,798761,GUY,"0,708",Americas
Haiti,11160441,HTI,"0,543",Americas
Honduras,9958832,HND,"0,632",Americas
Hungary,9771799,HUN,"0,853",Europe
Iceland,360787,ISL,"0,96",Europe
India,1383112100,IND,"0,645",Asia
Indonesia,269582880,IDN,"0,716",Asia
Iran,86564210,IRN,"0,783",Asia
Iraq,41563524,IRQ,"0,696",Asia
Ireland,4896021,IRL,"0,942",Europe
Israel,8607922,ISR,"0,921",Asia
Italy,59727936,ITA,"0,897",Europe
Jamaica,2813776,JAM,"0,719",Americas
Japan,125791680,JPN,"0,924",Asia
Jersey,107055,JEY,,Europe
Jordan,10698682,JOR,"0,727",Asia
Kazakhstan,18754260,KAZ,"0,819",Asia
Kenya,50951452,KEN,"0,581",Africa
Kiribati,124252,KIR,"0,63",Oceania
Kosovo,1686856,OWID_KOS,,
Kuwait,4441105,KWT,"0,839",Asia
Kyrgyzstan,6323643,KGZ,"0,698",Asia
Laos,7212058,LAO,"0,61",Asia
Latvia,1916552,LVA,"0,871",Europe
Lebanon,5781912,LBN,"0,745",Asia
Lesotho,2225710,LSO,"0,524",Africa
Liberia,4985290,LBR,"0,484",Africa
Libya,6569085,LBY,"0,722",Africa
Liechtenstein,38500,LIE,"0,94",Europe
Lithuania,2849083,LTU,"0,884",Europe
Luxembourg,619981,LUX,"0,927",Europe
Macao,663660,MAC,,Asia
Madagascar,27533134,MDG,"0,51",Africa
Malawi,18867340,MWI,"0,519",Africa
Malaysia,32804024,MYS,"0,81",Asia
Maldives,504518,MDV,"0,755",Asia
Mali,20567430,MLI,"0,433",Africa
Malta,503646,MLT,"0,915",Europe
Martinique,372254,MTQ,,Americas
Mauritania,4383853,MRT,"0,563",Africa
Mauritius,1296284,MUS,"0,817",Africa
Mayotte,294502,MYT,,Africa
Mexico,125085310,MEX,"0,779",Americas
Moldova,3109496,MDA,"0,774",Europe
Monaco,37059,MCO,,Europe
Mongolia,3232435,MNG,"0,746",Asia
Montenegro,630403,MNE,"0,837",Europe
Montserrat,4528,MSR,,Americas
