Country;Year;Population
Afghanistan;2019;37769496
Africa_(UN);2019;1327701100
Albania;2019;2873883
Algeria;2019;42705372
American_Samoa;2019;47341
Andorra;2019;76361
Angola;2019;32353592
Anguilla;2019;15408
Antigua_and_Barbuda;2019;92127
Argentina;2019;44745516
Armenia;2019;2820604
Aruba;2019;106458
Asia_(UN);2019;4628967400
Australia;2019;25357168
Austria;2019;8879939
Azerbaijan;2019;10232761
Bahamas;2019;404563
Bahrain;2019;1494195
Bangladesh;2019;165516220
Barbados;2019;280193
Belarus;2019;9673971
Belgium;2019;11510569
Belize;2019;389103
Benin;2019;12290443
Bermuda;2019;63833
Bhutan;2019;767467
Bolivia;2019;11777318
Bonaire_Sint_Eustatius_and_Saba;2019;25597
Bosnia_and_Herzegovina;2019;3360718
Botswana;2019;2499705
Brazil;2019;211782880
British_Virgin_Islands;2019;30631
Brunei;2019;438058
Bulgaria;2019;7052536
Burkina_Faso;2019;20951638
Burundi;2019;11874838
Cambodia;2019;16207746
Cameroon;2019;25782342
Canada;2019;37522584
Cape_Verde;2019;577037
Cayman_Islands;2019;66152
Central_African_Republic;2019;5209329
Chad;2019;16126868
Chile;2019;19039484
China;2019;1421864100
Colombia;2019;50187404
Comoros;2019;790993
Congo;2019;5570736
Cook_Islands;2019;17133
Costa_Rica;2019;5084527
Cote_d'Ivoire;2019;26147544
Croatia;2019;4129749
Cuba;2019;11316699
Curacao;2019;193119
Cyprus;2019;1228840
Czechia;2019;10536876
Democratic_Republic_of_Congo;2019;89906900
Denmark;2019;5795879
Djibouti;2019;1073999
Dominica;2019;71446
Dominican_Republic;2019;10881886
Ecuador;2019;17343742
Egypt;2019;105618670
El_Salvador;2019;6280222
Equatorial_Guinea;2019;1553037
Eritrea;2019;3498819
Estonia;2019;1327039
Eswatini;2019;1169620
Ethiopia;2019;114120590
Europe_(UN);2019;746189630
Faeroe_Islands;2019;51708
Falkland_Islands;2019;3729
Fiji;2019;918472
Finland;2019;5521539
France;2019;64399760
French_Guiana;2019;284088
French_Polynesia;2019;299730
Gabon;2019;2242788
Gambia;2019;2508882
Georgia;2019;3770814
Germany;2019;83148140
Ghana;2019;31522294
Gibraltar;2019;32715
Greece;2019;10574026
Greenland;2019;55955
Grenada;2019;122737
Guadeloupe;2019;395487
Guam;2019;168632
Guatemala;2019;17106338
Guernsey;2019;62391
Guinea;2019;12877537
Guinea-Bissau;2019;1970460
Guyana;2019;798761
Haiti;2019;11160441
High-income_countries;2019;1240855700
Honduras;2019;9958832
Hong_Kong;2019;7496121
Hungary;2019;9771799
Iceland;2019;360787
India;2019;1383112100
Indonesia;2019;269582880
Iran;2019;86564210
Iraq;2019;41563524
Ireland;2019;4896021
Isle_of_Man;2019;83950
Israel;2019;8607922
Italy;2019;59727936
Jamaica;2019;2813776
Japan;2019;125791680
Jersey;2019;107055
Jordan;2019;10698682
Kazakhstan;2019;18754260
Kenya;2019;50951452
Kiribati;2019;124252
Kosovo;2019;1686856
Kuwait;2019;4441105
Kyrgyzstan;2019;6323643
Land-locked_developing_countries_(LLDC);2019;524971870
Laos;2019;7212058
Latin_America_and_the_Caribbean_(UN);2019;646846800
Latvia;2019;1916552
Least_developed_countries;2019;1048193540
Lebanon;2019;5781912
Lesotho;2019;2225710
Less_developed_regions;2019;6490685400
Liberia;2019;4985290
Libya;2019;6569085
Liechtenstein;2019;38500
Lithuania;2019;2849083
Low-income_countries;2019;680013440
Lower-middle-income_countries;2019;3313063400
Luxembourg;2019;619981
Macao;2019;663660
Madagascar;2019;27533134
Malawi;2019;18867340
Malaysia;2019;32804024
Maldives;2019;504518
Mali;2019;20567430
Malta;2019;503646
Marshall_Islands;2019;44750
Martinique;2019;372254
Mauritania;2019;4383853
Mauritius;2019;1296284
Mayotte;2019;294502
Mexico;2019;125085310
Micronesia_(country);2019;111392
Moldova;2019;3109496
Monaco;2019;37059
Mongolia;2019;3232435
Montenegro;2019;630403
Montserrat;2019;4528
More_developed_regions;2019;1274265500
Morocco;2019;36304410
Mozambique;2019;30285602
Myanmar;2019;53040212
Namibia;2019;2446648
Nauru;2019;12156
Nepal;2019;28832500
Netherlands;2019;17363260
New_Caledonia;2019;285374
New_Zealand;2019;4959033
Nicaragua;2019;6663919
Niger;2019;23443400
Nigeria;2019;203304500
Niue;2019;1943
North_Korea;2019;25755442
North_Macedonia;2019;2114175
Northern_America_(UN);2019;371967900
Northern_Mariana_Islands;2019;49880
Norway;2019;5348285
Oceania_(UN);2019;43278150
Oman;2019;4602769
Pakistan;2019;223293280
Palau;2019;17939
Palestine;2019;4909775
Panama;2019;4232538
Papua_New_Guinea;2019;9542492
Paraguay;2019;6530029
Peru;2019;32824864
Philippines;2019;110380800
Poland;2019;38493600
Portugal;2019;10289921
Puerto_Rico;2019;3292888
Qatar;2019;2807242
Reunion;2019;949423
Romania;2019;19524212
Russia;2019;145742290
Rwanda;2019;12835029
Saint_Barthelemy;2019;10504
Saint_Helena;2019;5470
Saint_Kitts_and_Nevis;2019;47739
Saint_Lucia;2019;178594
Saint_Martin_(French_part);2019;33150
Saint_Pierre_and_Miquelon;2019;5952
Saint_Vincent_and_the_Grenadines;2019;104940
Samoa;2019;211915
San_Marino;2019;34203
Sao_Tome_and_Principe;2019;214612
Saudi_Arabia;2019;35827364
Senegal;2019;16000783
Serbia;2019;7401056
Seychelles;2019;104386
Sierra_Leone;2019;8046830
Singapore;2019;5866408
Sint_Maarten_(Dutch_part);2019;43002
Slovakia;2019;5453932
Slovenia;2019;2112905
Small_island_developing_states_(SIDS);2019;72558344
Solomon_Islands;2019;675000
Somalia;2019;15981312
South_Africa;2019;58087060
South_Korea;2019;51803830
South_Sudan;2019;10447677
Spain;2019;47131372
Sri_Lanka;2019;21649664
Sudan;2019;43232092
Suriname;2019;600305
Sweden;2019;10267922
Switzerland;2019;8575593
Syria;2019;20098252
Taiwan;2019;23777742
Tajikistan;2019;9337008
Tanzania;2019;59872584
Thailand;2019;71307770
Timor;2019;1280442
Togo;2019;8243093
Tokelau;2019;1775
Tonga;2019;104965
Trinidad_and_Tobago;2019;1519960
Tunisia;2019;12049319
Turkey;2019;83481690
Turkmenistan;2019;6158424
Turks_and_Caicos_Islands;2019;43104
Tuvalu;2019;10983
Uganda;2019;42949076
Ukraine;2019;44211100
United_Arab_Emirates;2019;9211660
United_Kingdom;2019;66778660
United_States;2019;334319680
United_States_Virgin_Islands;2019;100837
Upper-middle-income_countries;2019;2501414100
Uruguay;2019;3428412
Uzbekistan;2019;32976946
Vanuatu;2019;304414
Venezuela;2019;28971686
Vietnam;2019;95776710
Wallis_and_Futuna;2019;11735
Western_Sahara;2019;544883
World;2019;7764951000
Yemen;2019;31546694
Zambia;2019;18380478
Zimbabwe;2019;15354606
